地名,日期,经度,纬度,2米气温(°C),天气代码(),降雨量(mm),100米风速(m/s)
"湖南省, 中国",2023/9/2 6:00,111.2178802,27.38137054,20.95,Sunny,0,6.73
"湖南省, 中国",2023/9/2 7:00,111.2178802,27.38137054,21,Sunny,0,7.28
"湖南省, 中国",2023/9/2 8:00,111.2178802,27.38137054,21.1,Sunny,0,5.2
"湖南省, 中国",2023/9/2 9:00,111.2178802,27.38137054,21.2,Sunny,0,5.6
"湖南省, 中国",2023/9/2 10:00,111.2178802,27.38137054,21.75,Sunny,0,6.01
"湖南省, 中国",2023/9/2 11:00,111.2178802,27.38137054,22.6,Sunny,0,6.14
"湖南省, 中国",2023/9/2 12:00,111.2178802,27.38137054,22.75,Sunny,0,5.92
"湖南省, 中国",2023/9/2 13:00,111.2178802,27.38137054,22.81,Sunny,0,6.18
"湖南省, 中国",2023/9/2 14:00,111.2178802,27.38137054,22.85,Sunny,0,6.5
"湖南省, 中国",2023/9/2 15:00,111.2178802,27.38137054,23.31,Sunny,0,6.97
"湖南省, 中国",2023/9/2 16:00,111.2178802,27.38137054,23.25,Sunny,0,8.14
"湖南省, 中国",2023/9/2 17:00,111.2178802,27.38137054,22.9,Sunny,0,7.83
"湖南省, 中国",2023/9/2 18:00,111.2178802,27.38137054,22.4,Sunny,0,7.93
"湖南省, 中国",2023/9/2 19:00,111.2178802,27.38137054,21.75,Sunny,0,7.86
"湖南省, 中国",2023/9/2 20:00,111.2178802,27.38137054,21.5,Sunny,0,6.15
"湖南省, 中国",2023/9/2 21:00,111.2178802,27.38137054,21.45,Sunny,0,6.61
"湖南省, 中国",2023/9/2 22:00,111.2178802,27.38137054,21,Sunny,0,6.55
"湖南省, 中国",2023/9/2 23:00,111.2178802,27.38137054,20.95,Sunny,0,5.46
"湖南省, 中国",2023/9/3 0:00,111.2178802,27.38137054,20.75,Sunny,0,4.61
"湖南省, 中国",2023/9/3 1:00,111.2178802,27.38137054,20.6,Sunny,0,4.26
"湖南省, 中国",2023/9/3 2:00,111.2178802,27.38137054,19.7,drizzle,0.5,3.91
"湖南省, 中国",2023/9/3 3:00,111.2178802,27.38137054,19.5,drizzle,0.5,5.14
"湖南省, 中国",2023/9/3 4:00,111.2178802,27.38137054,19.31,Overcast,0.3,4.7
"湖南省, 中国",2023/9/3 5:00,111.2178802,27.38137054,19.06,Overcast,0.2,5.4
"湖南省, 中国",2023/9/3 6:00,111.2178802,27.38137054,18.9,Overcast,0,6.72
"湖南省, 中国",2023/9/3 7:00,111.2178802,27.38137054,18.95,Overcast,0,6.65
"湖南省, 中国",2023/9/3 8:00,111.2178802,27.38137054,18.7,drizzle,0.7,6.4
"湖南省, 中国",2023/9/3 9:00,111.2178802,27.38137054,19.6,Overcast,0.1,5.18
"湖南省, 中国",2023/9/3 10:00,111.2178802,27.38137054,20.45,Overcast,0.1,4.79
"湖南省, 中国",2023/9/3 11:00,111.2178802,27.38137054,20.81,Overcast,0.2,5.58
"湖南省, 中国",2023/9/3 12:00,111.2178802,27.38137054,21.65,Overcast,0.3,6.26
"湖南省, 中国",2023/9/3 13:00,111.2178802,27.38137054,22.81,Overcast,0.2,6.89
"湖南省, 中国",2023/9/3 14:00,111.2178802,27.38137054,22.6,Sunny,0.1,6.93
"湖南省, 中国",2023/9/3 15:00,111.2178802,27.38137054,23.25,Sunny,0,6.86
"湖南省, 中国",2023/9/3 16:00,111.2178802,27.38137054,22.7,Sunny,0,6.66
"湖南省, 中国",2023/9/3 17:00,111.2178802,27.38137054,22.06,Sunny,0,7.22
"湖南省, 中国",2023/9/3 18:00,111.2178802,27.38137054,20.95,Sunny,0,7.13
"湖南省, 中国",2023/9/3 19:00,111.2178802,27.38137054,20.2,Sunny,0,6.51
"湖南省, 中国",2023/9/3 20:00,111.2178802,27.38137054,18.81,Sunny,0,5.8
"湖南省, 中国",2023/9/3 21:00,111.2178802,27.38137054,18.7,Sunny,0,6.22
"湖南省, 中国",2023/9/3 22:00,111.2178802,27.38137054,18.5,Sunny,0,5.6
"湖南省, 中国",2023/9/3 23:00,111.2178802,27.38137054,18.35,Sunny,0,5.93
"湖南省, 中国",2023/9/4 0:00,111.2178802,27.38137054,18,Sunny,0,5.22
"湖南省, 中国",2023/9/4 1:00,111.2178802,27.38137054,17.81,Sunny,0,4.75
"湖南省, 中国",2023/9/4 2:00,111.2178802,27.38137054,17.7,Overcast,0,5.56
"湖南省, 中国",2023/9/4 3:00,111.2178802,27.38137054,18.25,Overcast,0,5.72
"湖南省, 中国",2023/9/4 4:00,111.2178802,27.38137054,18.65,Overcast,0,6.2
"湖南省, 中国",2023/9/4 5:00,111.2178802,27.38137054,18.75,Overcast,0,6.4
"湖南省, 中国",2023/9/4 6:00,111.2178802,27.38137054,18.7,Overcast,0,5.4
"湖南省, 中国",2023/9/4 7:00,111.2178802,27.38137054,18.75,Cloudy,0,5.32
"湖南省, 中国",2023/9/4 8:00,111.2178802,27.38137054,19.4,Sunny,0,4.26
"湖南省, 中国",2023/9/4 9:00,111.2178802,27.38137054,21.1,Overcast,0,3.8
"湖南省, 中国",2023/9/4 10:00,111.2178802,27.38137054,22,Overcast,0,4.46
"湖南省, 中国",2023/9/4 11:00,111.2178802,27.38137054,22.81,Cloudy,0,5.04
"湖南省, 中国",2023/9/4 12:00,111.2178802,27.38137054,24.1,Sunny,0,5.08
"湖南省, 中国",2023/9/4 13:00,111.2178802,27.38137054,24.95,Sunny,0,6.3
"湖南省, 中国",2023/9/4 14:00,111.2178802,27.38137054,26,Sunny,0,5.86
"湖南省, 中国",2023/9/4 15:00,111.2178802,27.38137054,25.5,Sunny,0,5.57
"湖南省, 中国",2023/9/4 16:00,111.2178802,27.38137054,26.15,Sunny,0,5.55
"湖南省, 中国",2023/9/4 17:00,111.2178802,27.38137054,25.5,Sunny,0,5.44
"湖南省, 中国",2023/9/4 18:00,111.2178802,27.38137054,25,Sunny,0,5.1
"湖南省, 中国",2023/9/4 19:00,111.2178802,27.38137054,23.65,Sunny,0,6.06
"湖南省, 中国",2023/9/4 20:00,111.2178802,27.38137054,22.31,Sunny,0,5.67
"湖南省, 中国",2023/9/4 21:00,111.2178802,27.38137054,22.15,Sunny,0,5.55
"湖南省, 中国",2023/9/4 22:00,111.2178802,27.38137054,21.75,Sunny,0,5.76
"湖南省, 中国",2023/9/4 23:00,111.2178802,27.38137054,21.4,Sunny,0,5.79
"湖南省, 中国",2023/9/5 0:00,111.2178802,27.38137054,21.06,Sunny,0,5.91
"湖南省, 中国",2023/9/5 1:00,111.2178802,27.38137054,20.6,Sunny,0,6
"湖南省, 中国",2023/9/5 2:00,111.2178802,27.38137054,20.25,Sunny,0,6.1
"湖南省, 中国",2023/9/5 3:00,111.2178802,27.38137054,20.2,Sunny,0,6.53
"湖南省, 中国",2023/9/5 4:00,111.2178802,27.38137054,20.2,Sunny,0,6.81
"湖南省, 中国",2023/9/5 5:00,111.2178802,27.38137054,20.25,Sunny,0,7.21
"湖南省, 中国",2023/9/5 6:00,111.2178802,27.38137054,20.25,Sunny,0,7.1
"湖南省, 中国",2023/9/5 7:00,111.2178802,27.38137054,20.6,Sunny,0,6.84
"湖南省, 中国",2023/9/5 8:00,111.2178802,27.38137054,22.1,Sunny,0,6.38
"湖南省, 中国",2023/9/5 9:00,111.2178802,27.38137054,23.2,Sunny,0,6
"湖南省, 中国",2023/9/5 10:00,111.2178802,27.38137054,24.5,Sunny,0,5.98
"湖南省, 中国",2023/9/5 11:00,111.2178802,27.38137054,25.9,Sunny,0,6.14
"湖南省, 中国",2023/9/5 12:00,111.2178802,27.38137054,27,Sunny,0,6.32
"湖南省, 中国",2023/9/5 13:00,111.2178802,27.38137054,27.75,Sunny,0,6.32
"湖南省, 中国",2023/9/5 14:00,111.2178802,27.38137054,27.45,Sunny,0,6.36
"湖南省, 中国",2023/9/5 15:00,111.2178802,27.38137054,27.95,Sunny,0,5.74
"湖南省, 中国",2023/9/5 16:00,111.2178802,27.38137054,27.7,Sunny,0,6.36
"湖南省, 中国",2023/9/5 17:00,111.2178802,27.38137054,26.75,Sunny,0,6.61
"湖南省, 中国",2023/9/5 18:00,111.2178802,27.38137054,25.75,Sunny,0,6.46
"湖南省, 中国",2023/9/5 19:00,111.2178802,27.38137054,24.65,Sunny,0,6.12
"湖南省, 中国",2023/9/5 20:00,111.2178802,27.38137054,23.9,Sunny,0,6.41
"湖南省, 中国",2023/9/5 21:00,111.2178802,27.38137054,23.9,Sunny,0,7
"湖南省, 中国",2023/9/5 22:00,111.2178802,27.38137054,23.6,Sunny,0,7.91
"湖南省, 中国",2023/9/5 23:00,111.2178802,27.38137054,23.15,Sunny,0,7.25
"湖南省, 中国",2023/9/6 0:00,111.2178802,27.38137054,22.9,Sunny,0,5.97
"湖南省, 中国",2023/9/6 1:00,111.2178802,27.38137054,22.1,Sunny,0.2,6.25
"湖南省, 中国",2023/9/6 2:00,111.2178802,27.38137054,21.7,Sunny,0,6.6
"湖南省, 中国",2023/9/6 3:00,111.2178802,27.38137054,21.35,Sunny,0,6.5
"湖南省, 中国",2023/9/6 4:00,111.2178802,27.38137054,21.25,Sunny,0,7.5
"湖南省, 中国",2023/9/6 5:00,111.2178802,27.38137054,21.56,Sunny,0,7.51
"湖南省, 中国",2023/9/6 6:00,111.2178802,27.38137054,21.45,Cloudy,0,7.62
"湖南省, 中国",2023/9/6 7:00,111.2178802,27.38137054,21.35,Overcast,0,7.92
"湖南省, 中国",2023/9/6 8:00,111.2178802,27.38137054,22.06,Sunny,0,7.83
"湖南省, 中国",2023/9/6 9:00,111.2178802,27.38137054,22.56,Cloudy,0,7.16
"湖南省, 中国",2023/9/6 10:00,111.2178802,27.38137054,24.75,Sunny,0,7.54
"湖南省, 中国",2023/9/6 11:00,111.2178802,27.38137054,25.65,Sunny,0,7.31
"湖南省, 中国",2023/9/6 12:00,111.2178802,27.38137054,26.25,Sunny,0,6.83
"湖南省, 中国",2023/9/6 13:00,111.2178802,27.38137054,25.2,Sunny,0.2,6.82
"湖南省, 中国",2023/9/6 14:00,111.2178802,27.38137054,23.65,drizzle,0.9,6.38
"湖南省, 中国",2023/9/6 15:00,111.2178802,27.38137054,23.95,Sunny,0.2,6.48
"湖南省, 中国",2023/9/6 16:00,111.2178802,27.38137054,24.06,Sunny,0,6.38
"湖南省, 中国",2023/9/6 17:00,111.2178802,27.38137054,23.95,Sunny,0.1,5.92
"湖南省, 中国",2023/9/6 18:00,111.2178802,27.38137054,23.85,Sunny,0,6.15
"湖南省, 中国",2023/9/6 19:00,111.2178802,27.38137054,23.6,Sunny,0,5.66
"湖南省, 中国",2023/9/6 20:00,111.2178802,27.38137054,22.85,Sunny,0,4.49
"湖南省, 中国",2023/9/6 21:00,111.2178802,27.38137054,22.95,Sunny,0,4.66
"湖南省, 中国",2023/9/6 22:00,111.2178802,27.38137054,22.6,Sunny,0,4.83
"湖南省, 中国",2023/9/6 23:00,111.2178802,27.38137054,22.45,Sunny,0,5.24
"湖南省, 中国",2023/9/7 0:00,111.2178802,27.38137054,22.2,Sunny,0,5.15
"湖南省, 中国",2023/9/7 1:00,111.2178802,27.38137054,21.81,Sunny,0,5.1
"湖南省, 中国",2023/9/7 2:00,111.2178802,27.38137054,21.5,Sunny,0,5.51
"湖南省, 中国",2023/9/7 3:00,111.2178802,27.38137054,21.4,Sunny,0,5.81
"湖南省, 中国",2023/9/7 4:00,111.2178802,27.38137054,21.31,Sunny,0,6
"湖南省, 中国",2023/9/7 5:00,111.2178802,27.38137054,21.15,Sunny,0,6.1
"湖南省, 中国",2023/9/7 6:00,111.2178802,27.38137054,21.06,Sunny,0,5.91
"湖南省, 中国",2023/9/7 7:00,111.2178802,27.38137054,21.56,Cloudy,0,6.01
"湖南省, 中国",2023/9/7 8:00,111.2178802,27.38137054,22.95,Cloudy,0,5.12
"湖南省, 中国",2023/9/7 9:00,111.2178802,27.38137054,24.25,Sunny,0,5.39
"湖南省, 中国",2023/9/7 10:00,111.2178802,27.38137054,25,Sunny,0.1,5.24
"湖南省, 中国",2023/9/7 11:00,111.2178802,27.38137054,26.4,Sunny,0,5.2
"湖南省, 中国",2023/9/7 12:00,111.2178802,27.38137054,27.35,Sunny,0.1,5.64
"湖南省, 中国",2023/9/7 13:00,111.2178802,27.38137054,28.35,Sunny,0.2,6.08
"湖南省, 中国",2023/9/7 14:00,111.2178802,27.38137054,28.5,Sunny,0.1,6.23
"湖南省, 中国",2023/9/7 15:00,111.2178802,27.38137054,29,Sunny,0.1,6.55
"湖南省, 中国",2023/9/7 16:00,111.2178802,27.38137054,28.7,Sunny,0,6.67
"湖南省, 中国",2023/9/7 17:00,111.2178802,27.38137054,28,Sunny,0,6.8
"湖南省, 中国",2023/9/7 18:00,111.2178802,27.38137054,27.1,Sunny,0,6.3
"湖南省, 中国",2023/9/7 19:00,111.2178802,27.38137054,25.65,Sunny,0,5.05
"湖南省, 中国",2023/9/7 20:00,111.2178802,27.38137054,24.65,Sunny,0,4.32
"湖南省, 中国",2023/9/7 21:00,111.2178802,27.38137054,24.06,Sunny,0,4.25
"湖南省, 中国",2023/9/7 22:00,111.2178802,27.38137054,23.35,Sunny,0,4.24
"湖南省, 中国",2023/9/7 23:00,111.2178802,27.38137054,22.75,Sunny,0,3.88
"湖南省, 中国",2023/9/8 0:00,111.2178802,27.38137054,22.35,Sunny,0,4.28
"湖南省, 中国",2023/9/8 1:00,111.2178802,27.38137054,22.2,Sunny,0,4.55
"湖南省, 中国",2023/9/8 2:00,111.2178802,27.38137054,22.06,Sunny,0,4.59
"湖南省, 中国",2023/9/8 3:00,111.2178802,27.38137054,21.9,Sunny,0,5.16
"湖南省, 中国",2023/9/8 4:00,111.2178802,27.38137054,21.7,Sunny,0,5.36
"湖南省, 中国",2023/9/8 5:00,111.2178802,27.38137054,21.4,Sunny,0,4.9
"湖南省, 中国",2023/9/8 6:00,111.2178802,27.38137054,21.15,Sunny,0,4.9
"湖南省, 中国",2023/9/8 7:00,111.2178802,27.38137054,21.6,Sunny,0,5.14
"湖南省, 中国",2023/9/8 8:00,111.2178802,27.38137054,23.65,Sunny,0,3.67
"湖南省, 中国",2023/9/8 9:00,111.2178802,27.38137054,25.15,Sunny,0.1,4.17
"湖南省, 中国",2023/9/8 10:00,111.2178802,27.38137054,26.25,Sunny,0.1,4.43
"湖南省, 中国",2023/9/8 11:00,111.2178802,27.38137054,27.25,Sunny,0.1,4.25
"湖南省, 中国",2023/9/8 12:00,111.2178802,27.38137054,27.95,Sunny,0.1,4.11
"湖南省, 中国",2023/9/8 13:00,111.2178802,27.38137054,28.7,Sunny,0.1,4.17
"湖南省, 中国",2023/9/8 14:00,111.2178802,27.38137054,29.15,Sunny,0.2,4.02
"湖南省, 中国",2023/9/8 15:00,111.2178802,27.38137054,29.06,Sunny,0.3,4.76
"湖南省, 中国",2023/9/8 16:00,111.2178802,27.38137054,28.75,Sunny,0.2,4.84
"湖南省, 中国",2023/9/8 17:00,111.2178802,27.38137054,28.25,Sunny,0,5.59
"湖南省, 中国",2023/9/8 18:00,111.2178802,27.38137054,27.15,Sunny,0,4.94
"湖南省, 中国",2023/9/8 19:00,111.2178802,27.38137054,25.65,Sunny,0.1,3.96
"湖南省, 中国",2023/9/8 20:00,111.2178802,27.38137054,24.65,Sunny,0,3.91
"湖南省, 中国",2023/9/8 21:00,111.2178802,27.38137054,24.2,Sunny,0,3.36
"湖南省, 中国",2023/9/8 22:00,111.2178802,27.38137054,23.95,Sunny,0,4.07
"湖南省, 中国",2023/9/8 23:00,111.2178802,27.38137054,23.5,Sunny,0,3.94
"湖南省, 中国",2023/9/9 0:00,111.2178802,27.38137054,22.95,Sunny,0,3.24
"湖南省, 中国",2023/9/9 1:00,111.2178802,27.38137054,22.35,Sunny,0,3.05
"湖南省, 中国",2023/9/9 2:00,111.2178802,27.38137054,21.95,Sunny,0,2.77
"湖南省, 中国",2023/9/9 3:00,111.2178802,27.38137054,21.45,Sunny,0,1.96
"湖南省, 中国",2023/9/9 4:00,111.2178802,27.38137054,21.06,Sunny,0,2.3
"湖南省, 中国",2023/9/9 5:00,111.2178802,27.38137054,20.9,Sunny,0,2.55
"湖南省, 中国",2023/9/9 6:00,111.2178802,27.38137054,20.6,Sunny,0,1.75
"湖南省, 中国",2023/9/9 7:00,111.2178802,27.38137054,21.1,Sunny,0,1.63
"湖南省, 中国",2023/9/9 8:00,111.2178802,27.38137054,24.31,Sunny,0,2.81
"湖南省, 中国",2023/9/9 9:00,111.2178802,27.38137054,26.1,Sunny,0,1.75
"湖南省, 中国",2023/9/9 10:00,111.2178802,27.38137054,27.1,Sunny,0.2,2.34
"湖南省, 中国",2023/9/9 11:00,111.2178802,27.38137054,27.85,Sunny,0.2,2.26
"湖南省, 中国",2023/9/9 12:00,111.2178802,27.38137054,28.7,Sunny,0.1,2.53
"湖南省, 中国",2023/9/9 13:00,111.2178802,27.38137054,29.45,Sunny,0,2.73
"湖南省, 中国",2023/9/9 14:00,111.2178802,27.38137054,29.85,Sunny,0,2.95
"湖南省, 中国",2023/9/9 15:00,111.2178802,27.38137054,29.81,Sunny,0,3.32
"湖南省, 中国",2023/9/9 16:00,111.2178802,27.38137054,29.5,Sunny,0,3.88
"湖南省, 中国",2023/9/9 17:00,111.2178802,27.38137054,28.85,Sunny,0,3.57
"湖南省, 中国",2023/9/9 18:00,111.2178802,27.38137054,28.15,Sunny,0,3.51
"湖南省, 中国",2023/9/9 19:00,111.2178802,27.38137054,26.2,Sunny,0,3.36
"湖南省, 中国",2023/9/9 20:00,111.2178802,27.38137054,25.31,Sunny,0,2.89
"湖南省, 中国",2023/9/9 21:00,111.2178802,27.38137054,25.1,Sunny,0,2.25
"湖南省, 中国",2023/9/9 22:00,111.2178802,27.38137054,24.15,Sunny,0,2.62
"湖南省, 中国",2023/9/9 23:00,111.2178802,27.38137054,24.7,Sunny,0,2.26
"湖南省, 中国",2023/9/10 0:00,111.2178802,27.38137054,24.85,Sunny,0,1.24
"湖南省, 中国",2023/9/10 1:00,111.2178802,27.38137054,24.65,Sunny,0,1.02
"湖南省, 中国",2023/9/10 2:00,111.2178802,27.38137054,23.15,Sunny,0,0.4
"湖南省, 中国",2023/9/10 3:00,111.2178802,27.38137054,23.25,Sunny,0,0.76
"湖南省, 中国",2023/9/10 4:00,111.2178802,27.38137054,23.6,Sunny,0,1
"湖南省, 中国",2023/9/10 5:00,111.2178802,27.38137054,21.65,Sunny,0,1.08
"湖南省, 中国",2023/9/10 6:00,111.2178802,27.38137054,21.81,Sunny,0,1.46
"湖南省, 中国",2023/9/10 7:00,111.2178802,27.38137054,22.2,Sunny,0,1.65
"湖南省, 中国",2023/9/10 8:00,111.2178802,27.38137054,25,Sunny,0,1.12
"湖南省, 中国",2023/9/10 9:00,111.2178802,27.38137054,26.5,Sunny,0,1.48
"湖南省, 中国",2023/9/10 10:00,111.2178802,27.38137054,27.65,Sunny,0,3.18
"湖南省, 中国",2023/9/10 11:00,111.2178802,27.38137054,28.65,Sunny,0,2.83
"湖南省, 中国",2023/9/10 12:00,111.2178802,27.38137054,29.56,Sunny,0,2.97
"湖南省, 中国",2023/9/10 13:00,111.2178802,27.38137054,30.4,Sunny,0,3.48
"湖南省, 中国",2023/9/10 14:00,111.2178802,27.38137054,30.76,Sunny,0,3.88
"湖南省, 中国",2023/9/10 15:00,111.2178802,27.38137054,30.7,Sunny,0,4.21
"湖南省, 中国",2023/9/10 16:00,111.2178802,27.38137054,30.51,Sunny,0,4.53
"湖南省, 中国",2023/9/10 17:00,111.2178802,27.38137054,29.81,Sunny,0,4.74
"湖南省, 中国",2023/9/10 18:00,111.2178802,27.38137054,28.85,Sunny,0,4.99
"湖南省, 中国",2023/9/10 19:00,111.2178802,27.38137054,27.5,Sunny,0,5.03
"湖南省, 中国",2023/9/10 20:00,111.2178802,27.38137054,26.65,Sunny,0,4.92
"湖南省, 中国",2023/9/10 21:00,111.2178802,27.38137054,26.25,Sunny,0,4.95
"湖南省, 中国",2023/9/10 22:00,111.2178802,27.38137054,25.15,Sunny,0,4.44
"湖南省, 中国",2023/9/10 23:00,111.2178802,27.38137054,23.5,Sunny,0,2.66
"湖南省, 中国",2023/9/11 0:00,111.2178802,27.38137054,22.95,Sunny,0,1.27
"湖南省, 中国",2023/9/11 1:00,111.2178802,27.38137054,22.5,Sunny,0,0.72
"湖南省, 中国",2023/9/11 2:00,111.2178802,27.38137054,22.1,Sunny,0,0.81
"湖南省, 中国",2023/9/11 3:00,111.2178802,27.38137054,21.85,Sunny,0,1.61
"湖南省, 中国",2023/9/11 4:00,111.2178802,27.38137054,21.6,Sunny,0,2.3
"湖南省, 中国",2023/9/11 5:00,111.2178802,27.38137054,21.4,Sunny,0,2.01
"湖南省, 中国",2023/9/11 6:00,111.2178802,27.38137054,21.31,Sunny,0,2.04
"湖南省, 中国",2023/9/11 7:00,111.2178802,27.38137054,22.45,Sunny,0,1.71
"湖南省, 中国",2023/9/11 8:00,111.2178802,27.38137054,23.9,Sunny,0,1.62
"湖南省, 中国",2023/9/11 9:00,111.2178802,27.38137054,25.4,Sunny,0,2.42
"湖南省, 中国",2023/9/11 10:00,111.2178802,27.38137054,27.2,Sunny,0,2.92
"湖南省, 中国",2023/9/11 11:00,111.2178802,27.38137054,28.56,Sunny,0,3.69
"湖南省, 中国",2023/9/11 12:00,111.2178802,27.38137054,29.45,Sunny,0,3.91
"湖南省, 中国",2023/9/11 13:00,111.2178802,27.38137054,30.26,Sunny,0,4.25
"湖南省, 中国",2023/9/11 14:00,111.2178802,27.38137054,30.7,Sunny,0.1,4.27
"湖南省, 中国",2023/9/11 15:00,111.2178802,27.38137054,30.65,Sunny,0.1,4.19
"湖南省, 中国",2023/9/11 16:00,111.2178802,27.38137054,30.6,Sunny,0.1,3.92
"湖南省, 中国",2023/9/11 17:00,111.2178802,27.38137054,30.06,Sunny,0.1,4.53
"湖南省, 中国",2023/9/11 18:00,111.2178802,27.38137054,29,Sunny,0,4.96
"湖南省, 中国",2023/9/11 19:00,111.2178802,27.38137054,27.81,Sunny,0,5.16
"湖南省, 中国",2023/9/11 20:00,111.2178802,27.38137054,25.45,Sunny,0,2.37
"湖南省, 中国",2023/9/11 21:00,111.2178802,27.38137054,25.4,Sunny,0,2.52
"湖南省, 中国",2023/9/11 22:00,111.2178802,27.38137054,24.35,Sunny,0,2.04
"湖南省, 中国",2023/9/11 23:00,111.2178802,27.38137054,23.9,Sunny,0,6.85
"湖南省, 中国",2023/9/12 0:00,111.2178802,27.38137054,22.4,Sunny,0.1,4.97
"湖南省, 中国",2023/9/12 1:00,111.2178802,27.38137054,22.31,Sunny,0,4.87
"湖南省, 中国",2023/9/12 2:00,111.2178802,27.38137054,22,Sunny,0,4.63
"湖南省, 中国",2023/9/12 3:00,111.2178802,27.38137054,21.75,Sunny,0,3.83
"湖南省, 中国",2023/9/12 4:00,111.2178802,27.38137054,21.45,Sunny,0,3.65
"湖南省, 中国",2023/9/12 5:00,111.2178802,27.38137054,21.31,Sunny,0,3.22
"湖南省, 中国",2023/9/12 6:00,111.2178802,27.38137054,20.95,Sunny,0,3.13
"湖南省, 中国",2023/9/12 7:00,111.2178802,27.38137054,21.4,Sunny,0,2.92
"湖南省, 中国",2023/9/12 8:00,111.2178802,27.38137054,23,Sunny,0,2.79
"湖南省, 中国",2023/9/12 9:00,111.2178802,27.38137054,24.35,Sunny,0.1,2.5
"湖南省, 中国",2023/9/12 10:00,111.2178802,27.38137054,25.06,Overcast,0.1,1.88
"湖南省, 中国",2023/9/12 11:00,111.2178802,27.38137054,25.75,Overcast,0.1,1.73
"湖南省, 中国",2023/9/12 12:00,111.2178802,27.38137054,26.25,Overcast,0.1,1.56
"湖南省, 中国",2023/9/12 13:00,111.2178802,27.38137054,27.4,Overcast,0,1.36
"湖南省, 中国",2023/9/12 14:00,111.2178802,27.38137054,27.5,Sunny,0.2,2.42
"湖南省, 中国",2023/9/12 15:00,111.2178802,27.38137054,27.95,Sunny,0.1,2.9
"湖南省, 中国",2023/9/12 16:00,111.2178802,27.38137054,26.75,Sunny,0.1,4.27
"湖南省, 中国",2023/9/12 17:00,111.2178802,27.38137054,25.6,Sunny,0.1,5.44
"湖南省, 中国",2023/9/12 18:00,111.2178802,27.38137054,24.5,Sunny,0.1,5.29
"湖南省, 中国",2023/9/12 19:00,111.2178802,27.38137054,23.1,Sunny,0.1,6.87
"湖南省, 中国",2023/9/12 20:00,111.2178802,27.38137054,21.9,Sunny,0.1,8.13
"湖南省, 中国",2023/9/12 21:00,111.2178802,27.38137054,21.35,Sunny,0,8.08
"湖南省, 中国",2023/9/12 22:00,111.2178802,27.38137054,20.65,Overcast,0,8.18
"湖南省, 中国",2023/9/12 23:00,111.2178802,27.38137054,19.85,Overcast,0,7.5
